2023.07.15	10:53:42	3587cf83-8153-48a2-9593-abc3960c9c3e	OPTIONS	https://www.google.com.ua	/
2023.07.15	10:53:43	18fa0683-50b1-4001-b8ba-dc8d4e474e29	GET	https://www.google.com.ua	/
2023.07.15	10:54:30	2a68a5ca-9ba8-4986-8ed7-03ce24485bee	OPTIONS	https://www.google.com.ua	/
2023.07.15	10:54:30	e3f56aa0-e1c0-441a-9785-ba6bdb0ceae9	GET	https://www.google.com.ua	/
2023.07.15	10:58:18	618beeb5-f251-431e-87a5-c0b2747f4074	OPTIONS	https://www.google.com.ua	/
2023.07.15	10:58:18	85ff46a7-1ced-4daf-9e2e-76ba272bfeb6	GET	https://www.google.com.ua	/
2023.07.15	11:02:57	85c0e598-ac0b-497e-8ea8-04e94d8116d7	GET	undefined	/css/style.css
2023.07.15	11:02:58	78d6d71b-7406-4dd9-acf3-6ee2af5597e9	GET	undefined	/old
2023.07.15	11:04:53	4097feda-c557-4dd6-b619-12c8f75f6c87	GET	undefined	/old
2023.07.15	11:06:04	e41f71d8-d310-4688-9643-937cd4dcc2e4	GET	undefined	/old
2023.07.15	11:06:04	afbe0e4f-c585-4573-bb11-fdf9014eead3	GET	undefined	/css/style.css
2023.07.15	12:03:41	4abdad9b-7add-4bdd-acb5-a67a708bf785	GET	undefined	/
2023.07.15	12:03:42	ca502005-3f1f-4992-98e7-40e4d8824f18	GET	undefined	/css/style.css
2023.07.16	13:53:39	8d3af998-b0d4-48ff-85a8-d5abf9485a48	GET	undefined	/old
2023.07.16	13:53:40	9952638b-1411-491e-9427-dc3b3b2b8c56	GET	undefined	/css/style.css
2023.07.16	13:54:27	3ca3d011-eacb-4d6f-9171-c3249a287c73	GET	undefined	/old
2023.07.16	13:54:27	cf89461e-3218-4e96-9c82-97a62db9d2ef	GET	undefined	/css/style.css
2023.07.16	13:54:31	a8b426b6-c075-4fee-9384-f7982c7b35eb	GET	undefined	/old
2023.07.16	13:54:31	5d58df0f-e0a5-4406-ae0e-f2537dee1317	GET	undefined	/css/style.css
2023.07.16	13:55:17	67cf97f4-a43e-4bd3-b38d-ad289ffd7327	GET	undefined	/old
2023.07.16	14:18:00	cb482426-879e-4560-a1fe-24bbac6da4c2	GET	undefined	/old
2023.07.16	14:18:00	fb6ad51a-af56-4c96-99db-aaa82a6d1cfd	GET	undefined	/css/style.css
2023.07.16	14:20:20	961c4875-7e68-4863-807b-1f3aad3c184a	GET	undefined	/old
2023.07.16	14:20:20	6bcf5ab0-a03c-457d-9f2a-dfe05d5bc297	GET	undefined	/css/style.css
2023.07.16	14:20:23	24589ef1-c995-44eb-8519-516d709545b3	GET	undefined	/old
